idx,op,name,ne0,ne1,ne2,ne3,us
1630,MUL_MAT,node_1630,768,144,36,1,356
1631,CPY,bb.layers.2.blocks.14.attn.proj.bias (copy),768,1,1,1,8
1632,ADD,bb.layers.2.blocks.14.attn,768,144,36,1,103
1633,RESHAPE,bb.layers.2.blocks.14.attn (reshaped),9216,12,6,6,0
1634,PERMUTE,bb.layers.2.blocks.14.attn (reshaped) (permuted),9216,6,12,6,0
1635,CONT,bb.layers.2.blocks.14.attn (reshaped) (permuted) (cont),9216,6,12,6,105
1636,RESHAPE,bb.layers.2.blocks.14.attn (reshaped) (permuted) (cont) (reshap,768,72,72,1,1
1637,RESHAPE,bb.layers.2.blocks.14.attn (reshaped) (permuted) (cont) (reshap,768,72,72,1,1
1638,VIEW,bb.layers.2.blocks.14.attn (reshaped) (permuted) (cont) (reshap,768,64,64,1,1
1639,CONT,bb.layers.2.blocks.14.attn (reshaped) (permuted) (cont) (reshap,768,64,64,1,82
1640,RESHAPE,bb.layers.2.blocks.14.attn (reshaped) (permuted) (cont) (reshap,768,4096,1,1,0
1641,ADD,bb.layers.2.blocks.14.attn (reshaped) (permuted) (cont) (reshap,768,4096,1,1,119
1642,NORM,node_1642,768,4096,1,1,106
1643,CPY,bb.layers.2.blocks.14.norm2.weight (copy),768,1,1,1,6
1644,MUL,node_1644,768,4096,1,1,83
1645,CPY,bb.layers.2.blocks.14.norm2.bias (copy),768,1,1,1,7
1646,ADD,bb.layers.2.blocks.14.norm2,768,4096,1,1,82
1647,MUL_MAT,node_1647,3072,4096,1,1,770
1648,CPY,bb.layers.2.blocks.14.mlp.fc1.bias (copy),3072,1,1,1,7
1649,ADD,node_1649,3072,4096,1,1,308
1650,UNARY, (view),3072,4096,1,1,310
1651,MUL_MAT,node_1651,768,4096,1,1,742
1652,CPY,bb.layers.2.blocks.14.mlp.fc2.bias (copy),768,1,1,1,6
1653,ADD,bb.layers.2.blocks.14.mlp,768,4096,1,1,83
1654,ADD,bb.layers.2.blocks.14,768,4096,1,1,119
1655,NORM,node_1655,768,4096,1,1,103
1656,CPY,bb.layers.2.blocks.15.norm1.weight (copy),768,1,1,1,6
1657,MUL,node_1657,768,4096,1,1,82
1658,CPY,bb.layers.2.blocks.15.norm1.bias (copy),768,1,1,1,6
1659,ADD,bb.layers.2.blocks.15.norm1,768,4096,1,1,81
1660,RESHAPE,bb.layers.2.blocks.15.norm1 (reshaped),768,64,64,1,0
1661,PAD,node_1661,768,72,72,1,95
1662,ROLL,node_1662,768,72,72,1,198
1663,RESHAPE, (reshaped),9216,6,12,6,1
